Date,Tank,PAR,Initials
05.07.22,1,5,TS
05.07.22,2,6,TS
05.07.22,3,7,TS
05.07.22,4,7,TS
05.07.22,5,0,TS
05.07.22,6,0,TS
05.07.22,7,0,TS
05.07.22,8,0,TS
05.07.22,9,7,TS
05.07.22,10,7,TS
05.07.22,11,8,TS
05.07.22,12,6,TS
05.07.22,13,6,TS
05.07.22,14,6,TS
05.07.22,15,7,TS
05.07.22,16,8,TS
12.07.22,1,7,TS
12.07.22,2,7,TS
12.07.22,3,7,TS
12.07.22,4,8,TS
12.07.22,5,0,TS
12.07.22,6,0,TS
12.07.22,7,0,TS
12.07.22,8,0,TS
12.07.22,9,7,TS
12.07.22,10,8,TS
12.07.22,11,8,TS
12.07.22,12,6,TS
12.07.22,13,7,TS
12.07.22,14,7,TS
12.07.22,15,7,TS
12.07.22,16,7,TS
19.07.22,9,8,TS
19.07.22,10,9,TS
19.07.22,11,8,TS
19.07.22,12,7,TS
19.07.22,13,7,TS
19.07.22,14,7,TS
19.07.22,15,8,TS
19.07.22,16,9,TS
26.07.22,1,8,TS
26.07.22,2,7,TS
26.07.22,3,9,TS
26.07.22,4,8,TS
26.07.22,5,0,TS
26.07.22,6,0,TS
26.07.22,7,0,TS
26.07.22,8,0,TS
26.07.22,9,8,TS
26.07.22,10,10,TS
26.07.22,11,9,TS
26.07.22,12,7,TS
26.07.22,13,7,TS
26.07.22,14,7,TS
26.07.22,15,8,TS
26.07.22,16,10,TS
02.08.22,1,7,TS
02.08.22,2,8,TS
02.08.22,3,8,TS
02.08.22,4,7,TS
02.08.22,5,0,TS
02.08.22,6,0,TS
02.08.22,7,0,TS
02.08.22,8,0,TS
02.08.22,9,8,TS
02.08.22,10,9,TS
02.08.22,11,8,TS
02.08.22,12,7,TS
02.08.22,13,7,TS
02.08.22,14,7,TS
02.08.22,15,8,TS
02.08.22,16,8,TS
23.08.22,1,7,TS
23.08.22,2,8,TS
23.08.22,3,9,TS
23.08.22,4,8,TS
23.08.22,5,0,TS
23.08.22,6,0,TS
23.08.22,7,0,TS
23.08.22,8,0,TS
23.08.22,9,7,TS
23.08.22,10,8,TS
23.08.22,11,9,TS
23.08.22,12,7,TS
23.08.22,13,6,TS
23.08.22,14,8,TS
23.08.22,15,7,TS
23.08.22,16,9,TS
19.09.22,1,7,LSW
19.09.22,2,7,LSW
19.09.22,3,6,LSW
19.09.22,4,7,LSW
19.09.22,5,0,LSW
19.09.22,6,0,LSW
19.09.22,7,0,LSW
19.09.22,8,0,LSW
19.09.22,9,6,LSW
19.09.22,10,7,LSW
19.09.22,11,7,LSW
19.09.22,12,7,LSW
19.09.22,13,6,LSW
19.09.22,14,6,LSW
19.09.22,15,6,LSW
19.09.22,16,7,LSW
29.09.22,1,7,LSW
29.09.22,2,9,LSW
29.09.22,3,7,LSW
29.09.22,4,7,LSW
29.09.22,5,0,LSW
29.09.22,6,0,LSW
29.09.22,7,0,LSW
29.09.22,8,0,LSW
29.09.22,9,8,LSW
29.09.22,10,7,LSW
29.09.22,11,8,LSW
29.09.22,12,6,LSW
29.09.22,13,6,LSW
29.09.22,14,7,LSW
29.09.22,15,8,LSW
29.09.22,16,8,LSW
26.10.22,1,8,TS
26.10.22,2,8,TS
26.10.22,3,9,TS
26.10.22,4,7,TS
26.10.22,5,0,TS
26.10.22,6,0,TS
26.10.22,7,0,TS
26.10.22,8,0,TS
26.10.22,9,7,TS
26.10.22,10,9,TS
26.10.22,11,8,TS
26.10.22,12,7,TS
26.10.22,13,7,TS
26.10.22,14,8,TS
26.10.22,15,8,TS
26.10.22,16,9,TS
