ID,Type,Group,PAR,Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
b1.0,Blank,1,420,06/29/2022,11:59:55,1,Luka,904702187,POF1,0,min,246.93,μmol/L,Humid,27.412,deg,9277,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37272.39,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:05,1,Luka,904702187,POF1,0.162,min,244.015,μmol/L,Humid,27.536,deg,9260,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37293.16,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:15,1,Luka,904702187,POF1,0.329,min,242.405,μmol/L,Humid,27.611,deg,9271,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37279.19,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:25,1,Luka,904702187,POF1,0.496,min,246.396,μmol/L,Humid,27.435,deg,9264,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37274.08,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:35,1,Luka,904702187,POF1,0.662,min,241.928,μmol/L,Humid,27.632,deg,9252,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37286.19,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:45,1,Luka,904702187,POF1,0.829,min,245.493,μmol/L,Humid,27.474,deg,9298,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37282.69,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:00:55,1,Luka,904702187,POF1,0.996,min,247.986,μmol/L,Humid,27.369,deg,9279,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37290,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:05,1,Luka,904702187,POF1,1.162,min,245.447,μmol/L,Humid,27.476,deg,9277,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37248.33,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:15,1,Luka,904702187,POF1,1.329,min,244.75,μmol/L,Humid,27.504,deg,9272,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37272.51,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:25,1,Luka,904702187,POF1,1.495,min,242.604,μmol/L,Humid,27.6,deg,9297,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37267.76,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:35,1,Luka,904702187,POF1,1.663,min,252.715,μmol/L,Humid,27.167,deg,9273,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37304.9,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:45,1,Luka,904702187,POF1,1.829,min,246.378,μmol/L,Humid,27.438,deg,9233,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37287.43,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:01:55,1,Luka,904702187,POF1,1.995,min,247.047,μmol/L,Humid,27.407,deg,9295,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37238.7,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:05,1,Luka,904702187,POF1,2.162,min,249.318,μmol/L,Humid,27.31,deg,9254,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37259.41,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:15,1,Luka,904702187,POF1,2.329,min,246.321,μmol/L,Humid,27.436,deg,9232,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37245.77,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:25,1,Luka,904702187,POF1,2.496,min,245.562,μmol/L,Humid,27.471,deg,9272,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37244.48,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:35,1,Luka,904702187,POF1,2.663,min,241.13,μmol/L,Humid,27.665,deg,9249,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37249.7,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:45,1,Luka,904702187,POF1,2.829,min,247.024,μmol/L,Humid,27.408,deg,9225,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37262.17,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:02:55,1,Luka,904702187,POF1,2.996,min,253.002,μmol/L,Humid,27.155,deg,9303,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37294.7,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:05,1,Luka,904702187,POF1,3.163,min,249.018,μmol/L,Humid,27.325,deg,9225,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37239.48,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:15,1,Luka,904702187,POF1,3.329,min,243.123,μmol/L,Humid,27.575,deg,9200,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37238.27,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:25,1,Luka,904702187,POF1,3.496,min,246.002,μmol/L,Humid,27.452,deg,9260,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37254.84,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:35,1,Luka,904702187,POF1,3.662,min,249.054,μmol/L,Humid,27.319,deg,9224,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37243.27,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:45,1,Luka,904702187,POF1,3.829,min,250.026,μmol/L,Humid,27.28,deg,9251,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37260.21,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:03:55,1,Luka,904702187,POF1,3.995,min,244.531,μmol/L,Humid,27.518,deg,9222,µV,17.463,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37226.76,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:04:05,1,Luka,904702187,POF1,4.163,min,250.215,μmol/L,Humid,27.272,deg,9252,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37250.42,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:04:15,1,Luka,904702187,POF1,4.329,min,248.308,μmol/L,Humid,27.353,deg,9230,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37218.82,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:04:25,1,Luka,904702187,POF1,4.496,min,248.942,μmol/L,Humid,27.326,deg,9206,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37239.7,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:04:35,1,Luka,904702187,POF1,4.663,min,249.36,μmol/L,Humid,27.306,deg,9207,µV,17.476,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37210.99,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,420,06/29/2022,12:04:45,1,Luka,904702187,POF1,4.829,min,244.64,μmol/L,Humid,27.511,deg,9197,µV,17.47,°C,1033,hPa,33,pmil,128,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,37214.48,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:09:21,1,Luka,904702187,POF1,0,min,249.119,μmol/L,Humid,27.265,deg,12018,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36910.77,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:09:31,1,Luka,904702187,POF1,0.166,min,249.048,μmol/L,Humid,27.268,deg,12020,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36908.82,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:09:41,1,Luka,904702187,POF1,0.333,min,248.69,μmol/L,Humid,27.281,deg,12020,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36907.53,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:09:51,1,Luka,904702187,POF1,0.5,min,249.184,μmol/L,Humid,27.26,deg,12022,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36910.28,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:10:01,1,Luka,904702187,POF1,0.667,min,249.302,μmol/L,Humid,27.255,deg,12024,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36902.11,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:10:11,1,Luka,904702187,POF1,0.833,min,248.972,μmol/L,Humid,27.269,deg,12020,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36909.57,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:10:21,1,Luka,904702187,POF1,1,min,248.959,μmol/L,Humid,27.274,deg,12021,µV,17.612,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36911.62,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
