ID,Type,Group,PAR,Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
b1.0,Blank,1,0,06/29/2022,13:10:31,1,Luka,904702187,POF1,1.167,min,249.171,μmol/L,Humid,27.265,deg,12014,µV,17.612,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36904.68,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:10:41,1,Luka,904702187,POF1,1.333,min,248.507,μmol/L,Humid,27.291,deg,12022,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36904.9,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:10:51,1,Luka,904702187,POF1,1.5,min,248.813,μmol/L,Humid,27.278,deg,12023,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36901.96,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:01,1,Luka,904702187,POF1,1.667,min,249.336,μmol/L,Humid,27.258,deg,12025,µV,17.612,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36902.95,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:11,1,Luka,904702187,POF1,1.833,min,248.619,μmol/L,Humid,27.284,deg,12021,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36902.21,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:21,1,Luka,904702187,POF1,2,min,249.001,μmol/L,Humid,27.27,deg,12018,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36902.46,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:31,1,Luka,904702187,POF1,2.167,min,248.69,μmol/L,Humid,27.281,deg,12012,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36900.96,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:41,1,Luka,904702187,POF1,2.333,min,248.549,μmol/L,Humid,27.287,deg,12019,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36901.11,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:11:51,1,Luka,904702187,POF1,2.5,min,249.071,μmol/L,Humid,27.267,deg,12018,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36899.45,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:12:01,1,Luka,904702187,POF1,2.667,min,249.024,μmol/L,Humid,27.269,deg,12026,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36899.08,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:12:11,1,Luka,904702187,POF1,2.833,min,248.907,μmol/L,Humid,27.274,deg,12020,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36895.25,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:12:21,1,Luka,904702187,POF1,3,min,248.949,μmol/L,Humid,27.27,deg,12023,µV,17.625,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36900.1,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:12:31,1,Luka,904702187,POF1,3.167,min,248.912,μmol/L,Humid,27.276,deg,12025,µV,17.612,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36903.14,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
b1.0,Blank,1,0,06/29/2022,13:12:41,1,Luka,904702187,POF1,3.333,min,248.695,μmol/L,Humid,27.283,deg,12019,µV,17.618,°C,1032,hPa,33,pmil,0,60.41,deg,20.6,°C,100,%a.s.,27.31,deg,20.6,°C,984,hPa,0.815,-0.065,0.0004,-0.00034,0,33,Humid,30.45,-3,46,36899.63,SABH0002000044,AAV2.0.0.13,4.0.0.2293,PSt3,210713-001,6/28/2022 1:38:34 PM,1534-01,0,no battery,V,,µV,,µV
