Reference,DOI,Site,Depth,Month,Temperature,PAR,E,k,Method,Ec.mean,Ec.sem,Ek.mean,Ek.sem,n,Source
Blain & Shears 2020,10.1002/lno.11449,"Nordic Reef, Leigh, Hauraki Gulf, New Zealand",5–7,May,19.9,3.074942,Ed,NA,Oxygen evolution,11.13246,0.875486,65.61276,4.64105,9,"Figure 2h, j, S2.1"
Blain & Shears 2020,10.1002/lno.11449,"Nordic Reef, Leigh, Hauraki Gulf, New Zealand",5–7,May,19.9,3.074942,Ed,NA,Oxygen evolution,11.602065,1.14786,61.261784,4.815082,9,"Figure 2h, j, S2.1"
Blain & Shears 2020,10.1002/lno.11449,"Nordic Reef, Leigh, Hauraki Gulf, New Zealand",5–7,May,19.9,1.016656,Ed,NA,Oxygen evolution,7.036419,0.7976507,48.905003,4.118927,9,"Figure 2h, j, S2.1"
Blain & Shears 2020,10.1002/lno.11449,"Nordic Reef, Leigh, Hauraki Gulf, New Zealand",5–7,May,19.9,1.016656,Ed,NA,Oxygen evolution,7.6616955,0.9338525,52.965916,6.149384,9,"Figure 2h, j, S2.1"
Blain et al. 2020,10.1002/lno.11321,"Rangitoto Island, Hauraki Gulf, New Zealand",,February,NA,1.79036655,Ed,NA,Oxygen evolution,9.642636,1.969289,94.404335,23.610105,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Motutapu Island, Hauraki Gulf, New Zealand",,February,NA,1.416878925,Ed,NA,Oxygen evolution,11.949856,1.658349,97.87003,11.046925,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Noises Islands, Hauraki Gulf, New Zealand",,February,NA,2.568450375,Ed,NA,Oxygen evolution,13.864016,1.321487,83.574005,10.613715,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Tiritiri Matangi Island, Hauraki Gulf, New Zealand",,February,NA,4.75032055,Ed,NA,Oxygen evolution,12.924895,1.606535,117.14802,15.595675,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Motuora Island, Hauraki Gulf, New Zealand",,February,NA,3.4633703,Ed,NA,Oxygen evolution,15.001542,2.552302,144.65704,20.144406,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"V-Bay, Leigh, Hauraki Gulf, New Zealand",,February,NA,5.553125,Ed,NA,Oxygen evolution,13.933152,1.580623,173.03249,29.24187,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Little Barrier Island, Hauraki Gulf, New Zealand",,February,NA,5.986474125,Ed,NA,Oxygen evolution,9.565782,1.075335,208.77257,19.7112,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Katherine Bay, Great Barrier Island, Hauraki Gulf, New Zealand",,February,NA,5.7407274,Ed,NA,Oxygen evolution,16.977238,4.560459,246.89531,47.22021,7–9,"Figure 1b, 6d, e"
Blain et al. 2020,10.1002/lno.11321,"Southwest Bay, Mokohinaus Islands, Hauraki Gulf, New Zealand",,February,NA,6.1510435,Ed,NA,Oxygen evolution,17.675676,2.7855,234.11552,53.06858,7–9,"Figure 1b, 6d, e"
